method,normalization,theta,rho,lambda,alpha,beta,top_alternative,top_stable,full_ranking_stable,spearman,kendall_tau,ranking,score_A1,rank_A1,score_A2,rank_A2,score_A3,rank_A3,score_A4,rank_A4,score_A5,rank_A5
generalized_inverse,max_min,1.0,3.0,2.25,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4094639542502415,4,0.794572925294157,2,0.6841855043926447,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4094639542502415,4,0.794572925294157,2,0.6841855043926447,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43507294856695,4,0.9286078593407053,2,0.6905019020216839,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43507294856695,4,0.9286078593407053,2,0.6905019020216839,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43507294856695,4,0.9286078593407053,2,0.6905019020216839,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44584373958273604,4,0.9518916859041446,2,0.6855327149058223,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44584373958273604,4,0.9518916859041446,2,0.6855327149058223,3,0.0,5
generalized_inverse,max_min,1.0,3.0,2.25,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44584373958273604,4,0.9518916859041446,2,0.6855327149058223,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.41007912526178447,4,0.7975330541569609,2,0.6869141052220108,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.41007912526178447,4,0.7975330541569609,2,0.6869141052220108,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.41007912526178447,4,0.7975330541569609,2,0.6869141052220108,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4352709882097175,4,0.9290689963495273,2,0.6910819637947155,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4352709882097175,4,0.9290689963495273,2,0.6910819637947155,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4352709882097175,4,0.9290689963495273,2,0.6910819637947155,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44597015819432456,4,0.9521336676741078,2,0.6858661694533269,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44597015819432456,4,0.9521336676741078,2,0.6858661694533269,3,0.0,5
generalized_inverse,max_min,1.0,3.0,3.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.44597015819432456,4,0.9521336676741078,2,0.6858661694533269,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.410825719990281,4,0.8011255781269975,2,0.6902256380432119,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.410825719990281,4,0.8011255781269975,2,0.6902256380432119,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.410825719990281,4,0.8011255781269975,2,0.6902256380432119,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43550899602928494,4,0.9296231996012486,2,0.6917790930961236,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43550899602928494,4,0.9296231996012486,2,0.6917790930961236,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.43550899602928494,4,0.9296231996012486,2,0.6917790930961236,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,1.0,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4461219857853339,4,0.9524242855565542,2,0.6862666453011674,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,1.0,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4461219857853339,4,0.9524242855565542,2,0.6862666453011674,3,0.0,5
generalized_inverse,max_min,1.0,3.0,5.0,1.0,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.4461219857853339,4,0.9524242855565542,2,0.6862666453011674,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.5,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.25098108452811224,4,0.6642414637108482,2,0.5504741119979818,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.5,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.25098108452811224,4,0.6642414637108482,2,0.5504741119979818,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.5,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.25098108452811224,4,0.6642414637108482,2,0.5504741119979818,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.88,0.5,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14859255012546638,4,0.7578590346545373,2,0.3937362640533179,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.88,0.88,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14859255012546638,4,0.7578590346545373,2,0.3937362640533179,3,0.0,5
generalized_inverse,sum,1.0,3.0,1.0,0.88,1.0,A1,True,False,0.7,0.6,A1 > A3 > A4 > A2 > A5,1.0,1,0.14859255012546638,4,0.7578590346545373,2,0.3937362640533179,3,0.0,5
